ID,Name,Description
41,Black Rune,"사용 시 방 안의 모든 적들에게 40의 데미지를 입히고, 모든 픽업아이템들을 아군 파리 혹은 아군 거미로 바꾸면서, 맵에 있는 모든 액티브 / 패시브 아이템을 흡수하여 랜덤한 스텟 보너스를 얻는다.  데미지 +1 , 공격속도 +0.5 , 속도 +0.2 , 샷 스피드 +0.2 , 행운 +1 , 사거리 +0.5 중에 2개"
42,Chaos Card (혼돈 카드),죽창캐릭터가 움직이는 방향으로 카드를 던진다. 맞은 적은 잡몹이나 스테이지 보스 심지어 무적판정의 오브젝트까지 무조건 끔살.
43,Credit Card (신용 카드),상점에서 사용하면 모든 아이템들이 무료가 된다. 이 효과는 악마 방에서도 적용된다!
44,Rules Card (규칙 카드),"사용하면 점술 기계를 쓰는 것과 비슷하게 랜덤한 문구 하나가 등장한다. 게임에 관한 팁을 주기도 하며, 특수 시드가 나올 때도 있다."
45,A Card Against Humanity (비인간적인 카드),사용하면 방 전체를 똥으로 뒤덮는다.
46,Suicide King (자살 왕),자살한다. 자살하면서 10개의 아이템들을 생성한다.
47,Get out of Jail Free Card (감옥 탈출권),도전 방이나 그리드 모드의 출구 등을 제외한 현재 방의 모든 문을 개방한다.
48,? Card (? 카드),현재 들고 있는 액티브 아이템의 효과를 사용한다.
49,Dice Shard (주사위 파편),방 안의 액티브 / 패시브 아이템을 바꾸는 D6 의 효과와 픽업 아이템/상자를 바꾸는 D20 주사위의 효과를 동시에 낸다.
50,Emergency Contact (비상 연락),최대 두개까지의 엄마 손을 소환해 방 안의 임의의 적을 잠시 붙잡고 피해를 준다.
51,Holy Card,사용 시 현재 방 안에서 Holy Mantle 효과가 부여된다. 사용시 25% 확률로 같은 카드를 한장 더 드랍시킨다.
52,Huge Growth,"사용 시 방 안에서 아이작의 크기를 매우 크게 늘리고 사거리 30 증가, 공격력 3배의 효과를 받는다."
53,Ancient Recall (고대의 부름),사용 시 카드 3장을 드랍한다.
54,Era Walk (시간 여행),"사용 시 방 안에서 Stop Watch 아이템 효과(현재 방 안의 모든 적들의 이동속도, 탄속, 사거리 감소)를 발동 하고 추가로 이동속도 +0.5 증가, 탄속이 -1.0만큼 감소한다. 느리게 하는 효과는 중첩되지 않는다."
55,Rune Shard,Blank/Black Rune을 제외한 무작위 룬들 중 하나의 열화 효과를 발동한다.
56,The Fool?,"사용 시 가지고 있는 모든 픽업 아이템을 바닥에 내려놓으며, 체력을 반 칸으로 만들고 깎인 만큼의 하트를 바닥에 드랍한다.[24] 수가 많은 경우 1+1 픽업 아이템이나 Boom!과 같은 픽업 아이템만을 제공하는 패시브 아이템으로 대신 제공된다. 돈이나 폭탄이 많은 경우 패시브 아이템이 엄청나게 생긴다는 점을 이용하여 D6/비밀방 리롤 구조 파밍에 써먹을 수 있으며 애초에 이런 용도로 만들었는지 Tarot Cloth를 획득한 상태에서 사용하면 본인이 마지막으로 먹은 패시브 아이템을 추가로 3개(Blank Card)/6개(직접 사용) 내려놓는다."
57,The Magician?,사용 시 1분 동안 푸른 오라가 캐릭터 주변에 둘러진다. The Soul과 비슷하지만 밀쳐내는 범위 및 힘이 더 크다. 캐릭터의 공격이 적을 향해 유도되는 대신 캐릭터를 향하는 몬스터의 공격이 반사되도록 뒤집은 카드.
58,The High Priestess?,사용 시 1분동안 더 포가튼 언락용 템인 Broken Shovel을 들었을 때 마냥 엄마 발 2개가 캐릭터를 향해 계속해서 떨어진다.
59,The Empress? (여제?),"사용 시 1분동안 최대 체력이 2칸 증가하고 연사 속도가 +1.35 증가하며, 캐릭터의 머리 스타일이 막달레나의 그것이 된다."
60,The Emperor?,"사용 시 다음 단계에서 등장하는 보스가 나오는 보스방으로 텔레포트한다. 보스는 랜덤이며 처치 시 보스방 아이템을 드랍한다. Womb/Utero/Scarred Womb에서는 그 스테이지에서 등장하는 보스가 그대로 나온다. 허쉬가 등장하는 ???에서는 몬스트로(...)가 등장하며, 처치 시 허쉬를 처치했을 때처럼 보이드로 가는 문과 트랩도어/빛이 등장한다. Sheol/Cathedral, Dark Room/Chest, Home에서는 무작위 장소로 텔레포트하고 Mausoleum ll 스테이지에서 해당 카드를 사용하면 Corpse로 진입하기 위한 어머니의 심장이 등장하며 해당 보스를 잡을 경우 Corpse로 다음 스테이지가 고정이 된다. 이건 칼 조각을 모으지 않았어도 해당되는 사항이다. The Void에서는 무작위 보스방으로 텔레포트한다. 이 카드로 생성된 보스방은 이 카드 이외에는 진입이 불가능하다. 현재 보스로 Mom이 등장하면 밖으로 나갈 수가 없는 버그가 존재한다."
61,The Hierophant?,사용 시 뼈 하트 2개를 소환한다. 원본처럼 바닥에 드랍한다.
62,VI - The Lovers? (연인?),"사용 시 해당 방의 배열에 맞는 패시브/액티브 아이템을 드랍하지만, 최대 체력 한 칸/소울 하트 두 칸을 Broken Heart로 바꾸어 사용할 수 없게 만든다."
63,VII - The Chariot? (전차?),사용 시 캐릭터가 무적이 되고 연사 속도가 매우 빨라지는 대신 이동을 할 수 없다.[25] 캐릭터의 모습은 기본적으로 Gnawed Leaf가 적용된 모습이 되지만 가끔씩 안티버스에서 나오려다 만 캐릭터인 이디스(Edith)로 바뀌는 이스터 에그가 있다.
64,VIII - Justice? (정의?),사용 시 2~4개의 황금 상자를 소환한다.
65,IX - The Hermit? (은둔자?),"사용 시 맵에 있는 모든 아이템들을 동전으로 바꾼다. 바뀌는 동전의 양은 상점 구매가를 따르며, 자루 및 상자는 바뀌지 않는다. 바뀔 아이템이 하나도 없는 경우 동전 1개를 소환한다."
66,X - Wheel of Fortune? (운명의 수레바퀴?),사용 시 무작위 주사위 방의 효과 중 하나를 발동한다.
67,XI - The Strength? (힘?),사용 시 해당 방의 모든 몬스터들을 약화시켜 이동속도를 절반으로 낮추고 두 배의 피해를 입도록 만든다.
68,XII - The Hanged Man? (매달린 남자?),사용 시 30초 동안 캐릭터의 외형이 Keeper의 외형으로 변하며 The Inner Eye 및 이속 -0.1이 적용된다. 해당 시간 동안 몬스터를 죽일 경우 동전 1개를 드랍한다.
69,XIII - Death? (죽음?),사용 시 Book of the Dead(죽은 몬스터의 수만큼 뼈다귀 배리어나 영구 매혹 상태의 Bonny 몬스터 소환) 효과를 발동한다.
70,XIV - Temperance? (절제?),사용 시 무작위 알약 5개를 소비하며 효과를 발동시킨다.
71,XV - The Devil? (악마?),"사용 시 30초 동안 The Bible을 사용한 것처럼 천사 날개가 생기며, Seraphim 패밀리어를 얻는다. The Bible을 사용한 것으로 취급되기 때문에 엄마와 엄마의 심장을 한 방에 보낼 수 있다."
72,XVI - The Tower? (탑?),사용 시 무작위 돌로 이루어진 돌 무더기 6개를 소환한다. 절대 길을 막도록 생성되지 않는다.
73,XVII - The Stars? (별?),사용 시 시작 아이템을 제외한[26] 가장 처음으로 먹은 패시브 아이템 하나를 제거하고 해당 방의 배열에 맞는 액티브/패시브 아이템 2개를 소환한다.
74,XVIII - The Moon? (달?),사용 시 특급 비밀방으로 텔레포트한다. 이 때 다른 방과 연결되는 빨간 방 1개도 같이 생성된다. 원본 카드처럼 특급 비밀방이 없는 스테이지의 경우 무작위 장소로 텔레포트한다. 연결되는 일반 방이 비밀방일 경우 폭탄이 없으면 밖으로 나갈 수가 없는 버그가 있다.
75,XIX - The Sun? (태양?),"사용 시 이번 스테이지 동안 모든 빨간 하트를 뼈 하트로 바꾸며, Spirit of Night가 적용되어 비행 + 지형 관통을 얻고, 데미지가 +1.5 증가하며, 해제할 수 없는 Curse of the Darkness 저주를 건다."
76,XX - Judgement? (심판?),사용 시 리스톡 기계를 소환한다.
77,XXI - The World? (세계?),사용 시 복고풍 비밀 방으로 연결시켜 주는 사다리를 소환한다.
78,Cracked Key,벽에 대고 사용 시 빨간 방이 생성된다. Red Key의 1회성 아이템. 보물방이나 보스방에 장신구를 버려두면 아빠의 노트 획득 후 Home으로 가는 길에 그 장신구가 Cracked Key로 변한다. 아빠의 노트가 있는 방이 보스방 취급이므로 장신구를 옆에 떨구고 아빠의 노트를 먹어도 변한다. Red Key가 보기 힘든 아이템이다 보니 알트 캐릭터들은 십중팔구 이 아이템으로 언락하게 된다. 특수 카드 취급 받으므로 Deck of Cards로 획득하는 등 다른 카드들처럼 이용할 수 있다.
79,Queen of Heart,사용 시 1~16개의 빨간 하트가 생성된다.
80,Wild Card,"사용 시 알약, 카드, 룬, 영혼석, 액티브 아이템 중에서 가장 최근에 사용한 아이템을 재사용한다."
